Дата/Время;Сообщение;Значение
2026-08-21 09:43:34,160;ПК: Останов;Пас
2026-08-21 09:43:44,000;ПК: Останов;Акт
2026-08-21 10:00:55,180;СК2 - закрыт;Пас
2026-08-21 10:00:55,210;СК3 - закрыт;Пас
2026-08-21 10:00:55,210;Три или четыре СК закрыты;Пас
2026-08-21 10:00:55,430;СК1 - закрыт;Пас
2026-08-21 10:00:55,440;СК4 - закрыт;Пас
2026-08-21 10:01:01,190;ПК: Останов;Пас
2026-08-21 10:01:29,450;ПК: Останов;Акт
2026-08-21 10:01:36,390;ПК: Останов;Пас
2026-08-21 10:01:38,190;Тип перехода между режимами;Ручной переход
2026-08-21 10:01:38,210;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:01:38,210;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:01:38,210;Тип перехода между режимами;Ручной переход
2026-08-21 10:01:42,710;Режим работы;РПК (Наладка)
2026-08-21 10:01:42,710;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:01:42,710;Тип перехода между режимами;Ручной переход
2026-08-21 10:04:07,420;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:04:24,060;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:04:24,170;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:04:24,190;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:06:42,990;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:07:17,430;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:09:38,330;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:12:02,200;ПК: Останов;Акт
2026-08-21 10:12:02,200;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:12:02,210;Начало форсированного сигнала;Акт
2026-08-21 10:12:02,210;Режим работы;ОСТАНОВ
2026-08-21 10:12:02,210;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:12:02,210;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:12:02,260;Начало форсированного сигнала;Пас
2026-08-21 10:12:05,280;ПК: Останов;Пас
2026-08-21 10:12:08,130;Тип перехода между режимами;Ручной переход
2026-08-21 10:12:08,150;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:12:08,150;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:12:08,150;Тип перехода между режимами;Ручной переход
2026-08-21 10:12:19,310;Режим работы;РПК (Наладка)
2026-08-21 10:12:19,310;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:12:19,310;Тип перехода между режимами;Ручной переход
2026-08-21 10:12:24,840;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:14:59,450;ПК: Останов;Акт
2026-08-21 10:14:59,450;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:14:59,470;Начало форсированного сигнала;Акт
2026-08-21 10:14:59,470;Режим работы;ОСТАНОВ
2026-08-21 10:14:59,470;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:14:59,470;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:14:59,520;Начало форсированного сигнала;Пас
2026-08-21 10:15:06,720;СК4 - закрыт;Акт
2026-08-21 10:15:06,730;СК1 - закрыт;Акт
2026-08-21 10:15:06,740;СК2 - закрыт;Акт
2026-08-21 10:15:06,740;СК3 - закрыт;Акт
2026-08-21 10:15:06,740;Три или четыре СК закрыты;Акт
