timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
17268,0.0203401,0.0203222,0.0208169
17315,0.0203401,0.0203609,0.0207901
17378,0.0203401,0.0204355,0.0206441
17458,0.0203431,0.0205159,0.0202596
17503,0.0203431,0.0204951,0.0206143
61360,0.013262,0.0132143,0.0141025
61408,0.013262,0.0131726,0.0135332
61599,0.013262,0.0132412,0.0136524
61631,0.013262,0.0133604,0.0140309
61726,0.0132799,0.0133783,0.0131965
61788,0.0132799,0.0133991,0.0130534
61837,0.0132799,0.0133842,0.012961
61932,0.0132799,0.0134051,0.0135213
61964,0.0132799,0.0134289,0.0136822
61995,0.0132799,0.0134289,0.0135988
62027,0.0132799,0.0133783,0.013268
62107,0.0132799,0.0134021,0.0130922
62154,0.0132799,0.0133604,0.0127703
62184,0.0132799,0.0133514,0.0129819
62516,None,0.0131041,0.012213
62517,0.0132769,None,None
62565,0.0132769,0.0129282,0.0119448
62771,None,None,0.0131518
62772,0.013271,0.0129849,None
62947,0.013271,0.0130653,0.0141382
62979,0.013271,0.0131309,0.0143439
63011,0.013271,0.0131577,0.0137657
63059,0.013271,0.0131845,0.0138611
63139,0.013271,0.013122,0.0130147
63171,0.013271,0.0131428,0.013122
63421,None,None,0.0135541
63422,0.0132799,0.0130922,None
63453,None,None,0.013274
63454,0.0132799,0.0130713,None
63533,0.0132799,0.0133544,0.0135154
63677,0.0132799,0.0134885,0.0138462
63756,None,None,0.0131667
63757,0.0133276,0.0134021,None
63819,None,None,0.0133395
63820,0.0133276,0.0133008,None
63947,0.0133276,0.0132471,0.0130862
63979,0.0133276,0.0131369,0.012356
64010,None,None,0.0124335
64011,0.0133276,0.0131071,None
64041,None,None,0.0123203
64042,0.0133276,0.0131041,None
64073,0.0133276,0.0131249,0.0127107
64152,0.0133276,0.013274,0.0132918
64199,0.0133336,0.0133038,0.0135094
64230,0.0133336,0.013268,0.0131369
64262,0.0133336,0.013274,0.0130475
64294,0.0133336,0.013268,0.0123918
64388,0.0133336,0.0133187,0.013423
64563,0.0133336,0.013268,0.0137269
64593,None,None,0.0133783
64594,0.0133336,0.0132442,None
64625,0.0133336,0.0132322,0.0134379
64655,None,None,0.0135481
64656,0.0133336,0.0131607,None
64672,0.0133336,0.0131845,0.0133663
64704,0.0133246,0.0132084,0.0134051
64830,0.0133246,0.0131369,0.0129551
64986,0.0133246,0.0131875,0.01252
65033,0.0133246,0.0132143,0.0127256
65064,None,None,0.012669
65065,0.0133246,0.0131607,None
65112,0.0133246,0.0130743,0.0129193
65286,0.0133067,0.0133455,0.0137687
65317,0.0133067,0.0133246,0.0138015
65411,None,None,0.013414
65412,0.0133067,0.0132412,None
65459,None,0.0132471,0.0132084
65460,0.0133067,None,None
48,0.0133067,0.0130534,0.0127405
79,None,None,0.0125945
80,0.0133067,0.0130206,None
111,None,None,0.0125825
112,0.0133067,0.0130504,None
218,0.0132889,0.0130475,0.0129819
318,0.0132889,0.0130981,0.0129163
365,None,None,0.0127941
366,0.0132889,0.0131011,None
397,0.0132889,0.0131428,0.0129819
477,0.0132889,0.0131547,0.012973
573,0.0132889,0.0130832,0.0128597
653,0.0132889,0.0130594,0.0133336
684,None,None,0.0135303
685,0.0132799,0.0131249,None
701,0.0132799,0.0131696,0.0135899
732,0.0132799,0.0131756,0.0144064
762,None,None,0.0142962
763,0.0132799,0.0131935,None
795,0.0132799,0.0133276,0.0148296
1001,0.0132799,0.0136375,0.0148505
1096,0.0132799,0.0136226,0.0133723
1127,0.0132799,0.0135541,0.0132293
1159,0.0132799,0.0135392,0.0131249
1318,0.0133276,0.0136077,0.0130564
1350,0.0133276,0.0135839,0.0126988
1398,0.0133276,0.0135601,0.0126421
1477,0.0133276,0.0137091,0.0135243
1779,0.0133425,0.013575,0.0133067
1811,0.0133425,0.0135005,0.0127912
1874,0.0133425,0.0135273,0.0137776
1921,0.0133425,0.0134408,0.0137985
1953,0.0133425,0.0134438,0.0136107
1984,0.0133425,0.0133753,0.0136703
2014,0.0133425,0.0132829,0.0135362
2055,0.0133425,0.0133455,0.0128537
2205,0.0133693,0.0133395,0.0131786
2299,0.0133693,0.0134259,0.0136912
2347,0.0133693,0.013411,0.0131965
2379,0.0133693,0.0134468,0.0129431
2425,0.0133693,0.013411,0.0131875
2504,0.0133693,0.0132352,0.0123382
2536,0.0133693,0.0130862,0.0122815
2567,0.0133693,0.0130117,0.0121564
2613,None,None,0.0120997
2614,0.0133693,0.0128865,None
2671,None,0.0130385,0.0124395
2672,0.0133246,None,None
2739,0.0133246,0.012967,0.0130683
2787,0.0133246,0.0130802,0.0136495
2818,0.0133246,0.0131518,0.0140816
2849,0.0133246,0.0130415,0.0134766
2944,None,0.0131458,0.0143468
2945,0.0133246,None,None
2975,0.0133246,0.0131398,0.014326
3007,0.0133246,0.0131965,0.0137478
3150,0.0133246,0.0131547,0.012815
3182,0.0133097,0.0131071,0.0124604
3246,0.0133097,0.0130564,0.0126481
3325,0.0133097,0.0130832,0.0128269
3452,0.0133097,0.013268,0.0140876
3532,0.0133097,0.0134796,0.0140369
3563,None,None,0.0140309
3564,0.0133097,0.0135571,None
3608,None,None,0.013718
3609,0.0133097,0.0135392,None
3640,0.0133097,0.0134289,0.0130951
3683,0.0133127,0.0134587,0.0128478
3815,0.0133127,0.0134408,0.0136197
3862,0.0133127,0.013417,0.0134796
3955,0.0133127,0.0133246,0.0134706
3986,0.0133127,0.0133723,0.0135183
4018,0.0133127,0.0133723,0.0134557
4050,0.0133127,0.0133723,0.0132233
4128,0.0133127,0.0132799,0.0125051
4176,0.013271,0.013417,0.0128925
4207,0.013271,0.0134438,0.0128776
4255,0.013271,0.0134021,0.0131249
4334,0.013271,0.0134557,0.0135481
4365,0.013271,0.0133902,0.0133663
4380,None,None,0.0130862
4381,0.013271,0.0133514,None
4412,None,0.0133574,0.0131428
4413,0.013271,None,None
4445,0.013271,0.0133306,0.0135779
4475,0.013271,0.0132799,0.0134557
4678,None,None,0.0125259
4679,0.0132531,0.0131518,None
4771,None,0.0131816,0.0130296
4772,0.0132531,None,None
4946,0.0132531,0.0131845,0.0135809
4994,0.0132531,0.0131816,0.0137955
5025,None,0.0131726,0.0135928
5026,0.0132531,None,None
5056,0.0132531,0.0132531,0.0135452
5087,None,0.0133544,0.0140101
5088,0.0132531,None,None
5181,0.0133038,0.0134915,0.014466
5212,0.0133038,0.0134677,0.0144601
5276,None,0.0135094,0.0137299
5277,0.0133038,None,None
5356,0.0133038,0.0134885,0.0133455
5402,0.0133038,0.0134408,0.0128448
5434,0.0133038,0.0134319,0.0135064
5495,0.0133038,0.0134408,0.0133961
5590,0.0133038,0.0135303,0.0134051
5637,None,None,0.0127912
5638,0.0133038,0.0135154,None
5669,0.0132889,0.0134438,0.0124037
5701,0.0132889,0.0134796,0.0126362
5794,None,0.0134647,0.0129491
5795,0.0132889,None,None
5811,0.0132889,0.0135064,0.0132293
5843,0.0132889,0.0135154,0.0138074
5874,None,0.0135332,0.0138849
5875,0.0132889,None,None
5906,0.0132889,0.013569,0.0142545
6001,0.0132889,0.0136346,0.0144839
6049,0.0132889,0.0136852,0.0143945
6081,0.0132889,0.0136286,0.0143111
6111,0.0132889,0.0135601,0.0139445
6207,0.0133157,0.0133514,0.0128508
6255,0.0133157,0.0133693,0.0126541
6286,None,0.0133753,0.0126898
6287,0.0133157,None,None
6319,0.0133157,0.013271,0.0122994
6399,0.0133157,0.0133544,0.0128001
6430,0.0133157,0.013265,0.0129133
6462,0.0133157,0.0133425,0.0131696
6605,0.0133157,0.0134498,0.0140369
6731,0.0133127,0.0135869,0.0133872
6826,None,0.0134915,0.0132948
6827,0.0133127,None,None
6874,0.0133127,0.0135869,0.0139624
6906,0.0133127,0.0135094,0.0140339
6983,0.0133127,0.0135481,0.0143141
7030,0.0133127,0.0134766,0.0140488
7061,None,None,0.0140607
7062,0.0133127,0.0134915,None
7077,0.0133127,0.0134617,0.0138819
7109,0.0133127,0.0134557,0.0136197
7141,0.0133127,0.0134379,0.0136375
7235,None,0.0134706,0.0126421
7236,0.0133634,None,None
7299,0.0133634,0.0136167,0.0133753
7331,0.0133634,0.0136137,0.0133187
7411,0.0133634,0.0136107,0.0134975
7443,0.0133634,0.0136256,0.0139147
7474,0.0133634,0.0135988,0.0136346
7506,0.0133634,0.0136882,0.0137806
7552,0.0133634,0.013569,0.0136167
7645,None,0.0135839,0.0138819
7646,0.0133634,None,None
