i;ÎÇ ÃÑÌ-À.Ââåðõ;ÎÇ ÃÑÌ-À.Âíèç;ÎÇ ÃÑÌ-À.Îòñå÷êà;ÎÇ ÃÑÌ-Á.Âíèç;ÎÇ ÃÑÌ-Á.Âíèç;ÎÇ ÃÑÌ-Á.Îòñå÷êà
0;-1.8000000000000005;-0.35995525;-1.080;-0.30720449999999994;-0.19441075000000002;-0.251
1;-0.27511947013246685;-0.35995525;-0.318;-0.11510622344413898;-0.19441075000000002;-0.155
2;-0.1605181204698825;-0.17422294426393403;-0.167;-0.04758210447388154;-0.15252136965758561;-0.100
3;-0.054115721069732566;-0.1523221694576356;-0.103;-0.016598100474881285;-0.13582879280179955;-0.076
4;0.019157460634841285;-0.13422844288927768;-0.058;0.010751562109472632;-0.11605273681579603;-0.053
5;0.05076505873531617;-0.10519120219945012;-0.027;0.03200624843789053;-0.09835266183454137;-0.033
6;0.08733941514621345;-0.07447838040489878;0.006;0.044926518370407405;-0.0870272431892027;-0.021
7;0.1179420144963759;-0.05142989252686829;0.033;0.04858460384903775;-0.0802974256435891;-0.016
8;0.13685903524118967;-0.03804823794051488;0.049;0.047259685078730324;-0.07742614346413394;-0.015
9;0.14424393901524615;-0.02989902524368908;0.057;0.044318920269932525;-0.07766408397900523;-0.017
10;0.14502399400149962;-0.025586853286678334;0.060;0.04252636840789803;-0.07886428392901773;-0.018
11;0.14096275931017244;-0.02395826043489128;0.059;0.039977505623594096;-0.08191602099475129;-0.021
12;0.1347408147963009;-0.02597300674831293;0.054;0.04030292426893277;-0.0841967008247938;-0.022
13;0.12936940764808796;-0.030086228442889284;0.050;0.042730317420644835;-0.08471207198200449;-0.021
14;0.12315771057235692;-0.03451862034491378;0.044;0.0450389902524369;-0.08545488627843038;-0.020
15;0.11782854286428393;-0.038953511622094476;0.039;0.048806048487878034;-0.08494326418395401;-0.018
16;0.11574331417145715;-0.04355811047238191;0.036;0.05203024243939017;-0.0839775056235941;-0.016
17;0.11524368907773058;-0.04872731817045739;0.033;0.05405298675331169;-0.08252236940764808;-0.014
18;0.11887853036740816;-0.053089227693076745;0.033;0.05682329417645591;-0.0803259185203699;-0.012
19;0.12450737315671082;-0.05614146463384156;0.034;0.05991852036990753;-0.07806498375406147;-0.009
20;0.12863334166458387;-0.056314921269682586;0.036;0.06402974256435892;-0.07469882529367658;-0.005
21;0.13357635591102227;-0.051121469632591864;0.041;0.0685223694076481;-0.07100049987503124;-0.001
22;0.1392686828292927;-0.04315346163459136;0.048;0.07265808547863034;-0.06783729067733067;0.002
23;0.1451492126968258;-0.0323861534616346;0.056;0.07482954261434642;-0.06641564608847789;0.004
24;0.15249362659335167;-0.022445638590352413;0.065;0.0775261184703824;-0.06448662834291427;0.007
25;0.16;-0.014782304423894027;0.073;0.0802499375156211;-0.06110722319420147;0.010
26;0.16530392401899527;-0.008294926268432892;0.079;0.08157135716070982;-0.05664283929017746;0.012
27;0.17035141214696325;-0.001931267183204199;0.084;0.08036765808547862;-0.05086628342914272;0.015
28;0.17385078730317421;0.003919770057485629;0.089;0.07649237690577354;-0.04758610347413148;0.014
29;0.17647313171707069;0.007726318420394902;0.092;0.07156235941014746;-0.04700649837540616;0.012
30;0.17922969257685578;0.00829867533116721;0.094;0.0681194701324669;-0.048820044988752816;0.010
31;0.18144538865283677;0.007703824043989005;0.095;0.06607248187953012;-0.050585603599100235;0.008
32;0.1835178705323669;0.005297175706073482;0.094;0.06496650837290677;-0.05257710572356912;0.006
33;0.18536090977255684;0.003563609097725569;0.094;0.06391102224443888;-0.05519045238690329;0.004
34;0.185585103724069;0.0014186453386653335;0.094;0.0629157710572357;-0.05873556610847289;0.002
35;0.18569157710572357;-0.0005448637840539865;0.093;0.06538640339915021;-0.06136240939765059;0.002
36;0.18692101974506373;-0.0028715321169707573;0.092;0.06934291427143215;-0.06437465633591602;0.002
37;0.18703649087728066;-0.005929517620594852;0.091;0.07423519120219944;-0.06526643339165208;0.004
38;0.18953161709572608;-0.0059050237440639855;0.092;0.07748287928017995;-0.0643579105223694;0.007
39;0.19019970007498127;-0.009330917270682332;0.090;0.07795401149712572;-0.06318295426143464;0.007
40;0.19079830042489382;-0.009854536365908526;0.090;0.07865858535366158;-0.06238715321169707;0.008
41;0.1941707073231692;-0.011994501374656338;0.091;0.07826218445388651;-0.06205798550362409;0.008
42;0.1962984253936516;-0.011443389152711824;0.092;0.07938615346163458;-0.06114396400899775;0.009
43;0.20103124218945265;-0.010464383904023995;0.095;0.08167208197950512;-0.061534616345913534;0.010
44;0.20493051737065734;-0.011221694576355913;0.097;0.08390502374406397;-0.061323169207698085;0.011
45;0.20706873281679583;-0.007911772056985756;0.100;0.08728692826793302;-0.059771807048237945;0.014
46;0.2088397900524869;-0.004619595101224695;0.102;0.09125418645338663;-0.05980179955011248;0.016
47;0.21087328167958008;0.0015836040989752568;0.106;0.09606848287928019;-0.05783204198950263;0.019
48;0.21226368407898027;0.0076835791052236955;0.110;0.09912696825793553;-0.056145463634091494;0.021
49;0.2139822544363909;0.013752311922019495;0.114;0.1026065983504124;-0.056414896275931034;0.023
50;0.2165911022244439;0.01606548362909273;0.116;0.10221969507623094;-0.05309172706823295;0.025
51;0.21827993001749563;0.016998750312421894;0.118;0.10114896275931018;-0.05101674581354663;0.025
52;0.22058435391152212;0.016668082979255188;0.119;0.10212971757060736;-0.047400899775056245;0.027
53;0.22405148712821796;0.013645588602849291;0.119;0.10202274431392151;-0.04297650587353162;0.030
54;0.2266320919770058;0.013655836040989754;0.120;0.10424193951512123;-0.04117670582354411;0.032
55;0.23066783304173957;0.012777805548612848;0.122;0.10552211947013247;-0.040519620094976255;0.033
56;0.2360082479380155;0.015637840539865035;0.126;0.10718295426143465;-0.03930667333166709;0.034
57;0.2406430892276931;0.021849537615596104;0.131;0.1080554861284679;-0.04010547363159211;0.034
58;0.24685578605348663;0.02619320169957511;0.137;0.10936015996001001;-0.04093251687078231;0.034
59;0.2514711322169458;0.03144413896525869;0.141;0.11194601349662586;-0.04050687328167958;0.036
60;0.25465583604098974;0.033239940014996264;0.144;0.11105398650337418;-0.041473381654586354;0.035
