Time,Combustion Chamber Pressure,Injector Needle Lift,1.1
(ms),(psi),(in)
0.000,219.1,0.0000
0.020,219.1,0.0000
0.040,219.1,0.0000
0.060,219.1,0.0000
0.080,219.1,0.0000
0.100,219.1,0.0000
0.120,219.1,0.0000
0.140,219.1,0.0000
0.160,219.1,0.0000
0.180,219.1,0.0000
0.200,219.1,0.0000
0.220,219.1,0.0000
0.240,219.1,0.0000
0.260,219.1,0.0000
0.280,219.1,0.0000
0.300,219.1,0.0000
0.320,219.1,0.0000
0.340,219.1,0.0000
0.360,219.1,0.0000
0.380,219.1,0.0000
0.400,219.1,0.0000
0.420,219.1,0.0000
0.440,219.1,0.0000
0.460,219.1,0.0000
0.480,219.1,0.0000
0.500,219.1,0.0000
0.520,219.1,0.0000
0.540,219.1,0.0000
0.560,219.1,0.0000
0.580,219.1,0.0000
0.600,219.1,0.0000
0.620,219.1,0.0000
0.640,219.1,0.0000
0.660,219.1,0.0000
0.680,219.1,0.0000
0.700,219.1,0.0000
0.720,219.1,0.0000
0.740,219.1,0.0000
0.760,219.1,0.0000
0.780,219.1,0.0000
0.800,219.1,0.0000
0.820,219.1,0.0000
0.840,219.1,0.0000
0.860,219.1,0.0000
0.880,219.1,0.0000
0.900,219.1,0.0000
0.920,219.1,0.0000
0.940,219.1,0.0000
0.960,219.1,0.0000
0.980,219.1,0.0000
1.000,219.1,0.0000
1.020,219.1,0.0000
1.040,219.1,0.0000
1.060,219.1,0.0000
1.080,219.1,0.0000
1.100,219.1,0.0000
1.120,219.1,0.0000
1.140,219.1,0.0000
1.160,219.1,0.0000
1.180,219.1,0.0000
1.200,219.1,0.0000
1.220,219.1,0.0000
1.240,219.1,0.0000
1.260,219.1,0.0000
1.280,219.1,0.0000
1.300,219.1,0.0000
1.320,219.1,0.0000
1.340,219.1,0.0000
1.360,219.1,0.0000
1.380,219.1,0.0000
1.400,219.1,0.0000
1.420,219.1,0.0000
1.440,219.1,0.0000
1.460,219.1,0.0000
1.480,219.1,0.0000
1.500,219.1,0.0000
1.520,219.1,0.0000
1.540,219.1,0.0000
1.560,219.1,0.0000
1.580,219.1,0.0000
1.600,219.1,0.0000
1.620,219.1,0.0000
1.640,219.1,0.0000
1.660,219.1,0.0000
1.680,219.1,0.0000
1.700,219.1,0.0000
1.720,219.1,0.0000
1.740,219.1,0.0000
1.760,219.1,0.0000
1.780,219.1,0.0000
1.800,219.1,0.0001
1.820,219.1,0.0000
1.840,219.1,0.0000
1.860,219.1,0.0000
1.880,219.1,0.0001
1.900,219.1,0.0002
1.920,219.1,0.0002
1.940,219.1,0.0004
1.960,219.1,0.0008
1.980,219.1,0.0014
2.000,219.1,0.0022
2.020,219.1,0.0032
2.040,219.1,0.0046
2.060,219.1,0.0062
2.080,219.1,0.0080
2.100,219.1,0.0101
2.120,219.1,0.0124
2.140,218.1,0.0151
2.160,218.1,0.0179
2.180,218.1,0.0209
2.200,218.1,0.0239
2.220,218.1,0.0267
2.240,218.1,0.0272
2.260,218.1,0.0273
2.280,218.1,0.0274
2.300,217.1,0.0273
2.320,220.1,0.0272
2.340,214.2,0.0270
2.360,220.1,0.0259
2.380,215.2,0.0239
2.400,220.1,0.0226
2.420,217.1,0.0216
2.440,218.1,0.0204
2.460,216.1,0.0199
2.480,219.1,0.0199
2.500,219.1,0.0198
2.520,215.2,0.0202
2.540,220.1,0.0207
2.560,209.3,0.0210
2.580,221.0,0.0218
2.600,214.2,0.0222
2.620,219.1,0.0227
2.640,216.1,0.0234
2.660,215.2,0.0237
2.680,217.1,0.0238
2.700,214.2,0.0241
2.720,218.1,0.0239
2.740,214.2,0.0235
2.760,214.2,0.0232
2.780,216.1,0.0227
2.800,212.2,0.0221
2.820,220.1,0.0214
2.840,212.2,0.0206
2.860,218.1,0.0197
2.880,210.3,0.0190
2.900,215.2,0.0183
2.920,214.2,0.0177
2.940,215.2,0.0176
2.960,216.1,0.0175
2.980,214.2,0.0178
3.000,217.1,0.0185
3.020,213.2,0.0194
3.040,216.1,0.0206
3.060,213.2,0.0220
3.080,216.1,0.0235
3.100,214.2,0.0251
3.120,214.2,0.0266
3.140,213.2,0.0269
